movieId;title;title_es;genres;genres;genres;genres;genres;LINK IMDB;LINK TMDBLD;rating;;
1;Toy Story (1995);Historia de juguete  (1995);Adventure;Animation;Children;Comedy;Fantasy;https://www.imdb.com/es-es/title/tt0114709;https://www.themoviedb.org/movie/862;3.9;;
2;Jumanji (1995);Jumanji  (1995);Adventure;Children;Fantasy;;;https://www.imdb.com/es-es/title/tt0113497;https://www.themoviedb.org/movie/8844;3.4;;
3;Grumpier Old Men (1995);Viejos m†s malvados  (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0113228;https://www.themoviedb.org/movie/15602;3.3;;
4;Waiting to Exhale (1995);Esperando para exhalar  (1995);Comedy;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0114885;https://www.themoviedb.org/movie/31357;2.4;;
5;Father of the Bride Part II (1995);Padre de la novia Parte II  (1995);Comedy;;;;;https://www.imdb.com/es-es/title/tt0113041;https://www.themoviedb.org/movie/11862;3.1;;
6;Heat (1995);Calor  (1995);Action;Crime;Thriller;;;https://www.imdb.com/es-es/title/tt0113277;https://www.themoviedb.org/movie/949;3.9;;
7;Sabrina (1995);Sabrina  (1995);Comedy;Romance;;;;https://www.imdb.com/es-es/title/tt0114319;https://www.themoviedb.org/movie/11860;3.2;;
8;Tom and Huck (1995);Tom y Huck  (1995);Adventure;Children;;;;https://www.imdb.com/es-es/title/tt0112302;https://www.themoviedb.org/movie/45325;2.9;;
9;Sudden Death (1995);Muerte repentina  (1995);Action;;;;;https://www.imdb.com/es-es/title/tt0114576;https://www.themoviedb.org/movie/9091;3.1;;
10;GoldenEye (1995);Goldeye  (1995);Action;Adventure;Thriller;;;https://www.imdb.com/es-es/title/tt0113189;https://www.themoviedb.org/movie/710;3.5;;
11;American President. The (1995);;Comedy;Drama;Romance;;;https://www.imdb.com/es-es/title/tt0112346;https://www.themoviedb.org/movie/9087;3.7;;
12;Dracula: Dead and Loving It (1995);Dr†cula: muerto y am†ndolo  (1995);Comedy;Horror;;;;https://www.imdb.com/es-es/title/tt0112896;https://www.themoviedb.org/movie/12110;2.4;;
13;Balto (1995);Balto  (1995);Adventure;Animation;Children;;;https://www.imdb.com/es-es/title/tt0112453;https://www.themoviedb.org/movie/21032;3.1;;
14;Nixon (1995);Nixon  (1995);Drama;;;;;https://www.imdb.com/es-es/title/tt0113987;https://www.themoviedb.org/movie/10858;3.8;;
15;Cutthroat Island (1995);Isla Cuthroat  (1995);Action;Adventure;Romance;;;https://www.imdb.com/es-es/title/tt0112760;https://www.themoviedb.org/movie/1408;3;;
